Tracking number,Payment type (Prepaid/COD),Pickup Date Time,Delivery Date Time,Days Taken for Delivery,Out for Delivery datetime(s),Shipment weight,"Pickup Pincode, City, State","Drop Pincode, City, State",Number of Delivery Attempts Needed
391128701026,COD,2020-03-16T15:44:00+05:30,2020-03-20T13:37:00+05:30,3,2020-03-16T00:00:00,14,560048 BANGALORE KA,122001 Gurgaon HR,2
390901883808,Prepaid,2020-03-06T16:07:00+05:30,2020-03-09T19:50:00+05:30,3,2020-03-06T00:00:00,14,560048 BANGALORE KA,560034 Bangalore KA,3
391128749178,Prepaid,2020-03-16T15:44:00+05:30,2020-03-19T15:29:00+05:30,2,2020-03-16T00:00:00,14,560048 BANGALORE KA,380028 Ahmedabad GJ,2
390807986805,Prepaid,2020-03-03T16:19:00+05:30,2020-03-07T14:24:00+05:30,3,2020-03-03T00:00:00,14,560048 BANGALORE KA,110088 New Delhi DL,2
390948921190,Prepaid,2020-03-09T15:12:00+05:30,2020-03-13T14:44:00+05:30,3,2020-03-09T00:00:00,14,560048 BANGALORE KA,110009 Delhi DL,2
390950106897,Prepaid,2020-03-09T15:12:00+05:30,2020-03-12T16:00:00+05:30,3,2020-03-09T00:00:00,14,560048 BANGALORE KA,400053 Mumbai MH,1
391128762808,Prepaid,2020-03-16T15:44:00+05:30,2020-03-18T12:09:00+05:30,1,2020-03-16T00:00:00,14,560048 BANGALORE KA,400052 Mumbai MH,1
390807994538,Prepaid,2020-03-03T16:19:00+05:30,2020-03-07T15:19:00+05:30,3,2020-03-03T00:00:00,14,560048 BANGALORE KA,110087 New Delhi DL,2
390950134073,Prepaid,2020-03-09T15:12:00+05:30,2020-03-13T14:44:00+05:30,3,2020-03-09T00:00:00,14,560048 BANGALORE KA,110009 Delhi DL,2
390950572730,Prepaid,2020-03-09T15:12:00+05:30,2020-03-10T15:30:00+05:30,1,2020-03-09T00:00:00,28,560048 BANGALORE KA,560038 Bangalore KA,2
390839041400,COD,2020-03-04T16:13:00+05:30,2020-03-09T14:45:00+05:30,4,2020-03-04T00:00:00,14,560048 BANGALORE KA,110027 Delhi DL,2
390807999654,Prepaid,2020-03-03T16:19:00+05:30,2020-03-12T13:00:00+05:30,8,2020-03-03T00:00:00,14,560048 BANGALORE KA,827001 Bokaro steel City JH,2
390767871261,Prepaid,2020-03-02T16:23:00+05:30,2020-03-11T18:30:00+05:30,9,2020-03-02T00:00:00,14,560048 BANGALORE KA,122001 Gurugram HR,2
391018702750,Prepaid,2020-03-11T16:39:00+05:30,2020-03-18T19:26:00+05:30,7,2020-03-11T00:00:00,14,560048 BANGALORE KA,226010 Lucknow UP,2
390931993491,COD,2020-03-07T16:27:00+05:30,2020-03-11T14:31:00+05:30,3,2020-03-07T00:00:00,14,560048 BANGALORE KA,380015 ahmedabad GJ,2
391080326650,Prepaid,2020-03-13T17:14:00+05:30,2020-03-20T16:00:00+05:30,6,2020-03-13T00:00:00,14,  ,400604 Thane MH,4
